"Step","volcanic-bush-67 - Test Accuracy","volcanic-bush-67 - Test Accuracy__MIN","volcanic-bush-67 - Test Accuracy__MAX","volcanic-bush-67 - Train Accuracy","volcanic-bush-67 - Train Accuracy__MIN","volcanic-bush-67 - Train Accuracy__MAX"
"0","","","","","",""
"1","","","","","",""
"2","","","","","",""
"3","","","","","",""
"4","","","","36.97674418604651","36.97674418604651","36.97674418604651"
"5","32.23684210526316","32.23684210526316","32.23684210526316","","",""
"6","","","","","",""
"7","","","","","",""
"8","","","","","",""
"9","","","","","",""
"10","","","","","",""
"11","","","","44.18604651162791","44.18604651162791","44.18604651162791"
"12","32.23684210526316","32.23684210526316","32.23684210526316","","",""
"13","","","","","",""
"14","","","","","",""
"15","","","","","",""
"16","","","","","",""
"17","","","","","",""
"18","","","","43.72093023255814","43.72093023255814","43.72093023255814"
"19","32.23684210526316","32.23684210526316","32.23684210526316","","",""
"20","","","","","",""
"21","","","","","",""
"22","","","","","",""
"23","","","","","",""
"24","","","","","",""
"25","","","","53.72093023255814","53.72093023255814","53.72093023255814"
"26","50","50","50","","",""
"27","","","","","",""
"28","","","","","",""
"29","","","","","",""
"30","","","","","",""
"31","","","","","",""
"32","","","","52.55813953488372","52.55813953488372","52.55813953488372"
"33","41.44736842105263","41.44736842105263","41.44736842105263","","",""
"34","","","","","",""
"35","","","","","",""
"36","","","","","",""
"37","","","","","",""
"38","","","","","",""
"39","","","","56.04651162790698","56.04651162790698","56.04651162790698"
"40","53.28947368421053","53.28947368421053","53.28947368421053","","",""
"41","","","","","",""
"42","","","","","",""
"43","","","","","",""
"44","","","","","",""
"45","","","","","",""
"46","","","","57.906976744186046","57.906976744186046","57.906976744186046"
"47","61.8421052631579","61.8421052631579","61.8421052631579","","",""
"48","","","","","",""
"49","","","","","",""
"50","","","","","",""
"51","","","","","",""
"52","","","","","",""
"53","","","","54.65116279069767","54.65116279069767","54.65116279069767"
"54","59.21052631578947","59.21052631578947","59.21052631578947","","",""
"55","","","","","",""
"56","","","","","",""
"57","","","","","",""
"58","","","","","",""
"59","","","","","",""
"60","","","","57.674418604651166","57.674418604651166","57.674418604651166"
"61","57.89473684210526","57.89473684210526","57.89473684210526","","",""
"62","","","","","",""
"63","","","","","",""
"64","","","","","",""
"65","","","","","",""
"66","","","","","",""
"67","","","","60","60","60"
"68","57.23684210526316","57.23684210526316","57.23684210526316","","",""
"69","","","","","",""
"70","","","","","",""
"71","","","","","",""
"72","","","","","",""
"73","","","","","",""
"74","","","","53.95348837209303","53.95348837209303","53.95348837209303"
"75","33.55263157894737","33.55263157894737","33.55263157894737","","",""
"76","","","","","",""
"77","","","","","",""
"78","","","","","",""
"79","","","","","",""
"80","","","","","",""
"81","","","","55.58139534883721","55.58139534883721","55.58139534883721"
"82","51.31578947368421","51.31578947368421","51.31578947368421","","",""
