Step,imperial-droid-52 - Test Accuracy,imperial-droid-52 - Test Accuracy__MIN,imperial-droid-52 - Test Accuracy__MAX,imperial-droid-52 - Val Accuracy,imperial-droid-52 - Val Accuracy__MIN,imperial-droid-52 - Val Accuracy__MAX,imperial-droid-52 - Train Accuracy,imperial-droid-52 - Train Accuracy__MIN,imperial-droid-52 - Train Accuracy__MAX
28,,,,,,,0.8520078629598430,0.8520078629598430,0.8520078629598430
29,62.55230125523010,62.55230125523010,62.55230125523010,,,,,,
30,,,,61.554621848739500,61.554621848739500,61.554621848739500,,,
60,,,,,,,0.8938500421229990,0.8938500421229990,0.8938500421229990
61,10.669456066945600,10.669456066945600,10.669456066945600,,,,,,
62,,,,10.714285714285700,10.714285714285700,10.714285714285700,,,
92,,,,,,,0.8980623420387530,0.8980623420387530,0.8980623420387530
93,73.22175732217570,73.22175732217570,73.22175732217570,,,,,,
94,,,,76.05042016806720,76.05042016806720,76.05042016806720,,,
124,,,,,,,0.9008705419825890,0.9008705419825890,0.9008705419825890
125,76.98744769874480,76.98744769874480,76.98744769874480,,,,,,
126,,,,80.46218487394960,80.46218487394960,80.46218487394960,,,
156,,,,,,,0.8994664420106710,0.8994664420106710,0.8994664420106710
157,82.42677824267780,82.42677824267780,82.42677824267780,,,,,,
158,,,,84.66386554621850,84.66386554621850,84.66386554621850,,,
188,,,,,,,0.8986239820275200,0.8986239820275200,0.8986239820275200
189,83.68200836820080,83.68200836820080,83.68200836820080,,,,,,
190,,,,85.29411764705880,85.29411764705880,85.29411764705880,,,
220,,,,,,,0.8991856220162880,0.8991856220162880,0.8991856220162880
221,84.30962343096240,84.30962343096240,84.30962343096240,,,,,,
222,,,,83.61344537815130,83.61344537815130,83.61344537815130,,,
252,,,,,,,0.9011513619769730,0.9011513619769730,0.9011513619769730
253,86.19246861924690,86.19246861924690,86.19246861924690,,,,,,
254,,,,85.71428571428570,85.71428571428570,85.71428571428570,,,
284,,,,,,,0.900308901993822,0.900308901993822,0.900308901993822
285,84.93723849372390,84.93723849372390,84.93723849372390,,,,,,
286,,,,86.97478991596640,86.97478991596640,86.97478991596640,,,
316,,,,,,,0.9011513619769730,0.9011513619769730,0.9011513619769730
317,85.35564853556490,85.35564853556490,85.35564853556490,,,,,,
318,,,,86.97478991596640,86.97478991596640,86.97478991596640,,,
348,,,,,,,0.9033979219320420,0.9033979219320420,0.9033979219320420
349,84.72803347280340,84.72803347280340,84.72803347280340,,,,,,
350,,,,86.34453781512610,86.34453781512610,86.34453781512610,,,
380,,,,,,,0.9073294018534120,0.9073294018534120,0.9073294018534120
381,83.26359832635980,83.26359832635980,83.26359832635980,,,,,,
382,,,,85.71428571428570,85.71428571428570,85.71428571428570,,,
412,,,,,,,0.9067677618646450,0.9067677618646450,0.9067677618646450
413,78.03347280334730,78.03347280334730,78.03347280334730,,,,,,
414,,,,77.73109243697480,77.73109243697480,77.73109243697480,,,
444,,,,,,,0.9126649817467000,0.9126649817467000,0.9126649817467000
445,83.89121338912130,83.89121338912130,83.89121338912130,,,,,,
446,,,,85.92436974789920,85.92436974789920,85.92436974789920,,,
476,,,,,,,0.9121033417579330,0.9121033417579330,0.9121033417579330
477,83.47280334728030,83.47280334728030,83.47280334728030,,,,,,
478,,,,87.39495798319330,87.39495798319330,87.39495798319330,,,
508,,,,,,,0.9112608817747820,0.9112608817747820,0.9112608817747820
509,81.38075313807530,81.38075313807530,81.38075313807530,,,,,,
510,,,,83.19327731092440,83.19327731092440,83.19327731092440,,,
540,,,,,,,0.9106992417860150,0.9106992417860150,0.9106992417860150
541,87.02928870292890,87.02928870292890,87.02928870292890,,,,,,
542,,,,88.65546218487400,88.65546218487400,88.65546218487400,,,
572,,,,,,,0.9135074417298510,0.9135074417298510,0.9135074417298510
573,84.51882845188280,84.51882845188280,84.51882845188280,,,,,,
574,,,,88.65546218487400,88.65546218487400,88.65546218487400,,,
604,,,,,,,0.9194046616119070,0.9194046616119070,0.9194046616119070
605,82.42677824267780,82.42677824267780,82.42677824267780,,,,,,
606,,,,84.87394957983190,84.87394957983190,84.87394957983190,,,
636,,,,,,,0.9177197416456050,0.9177197416456050,0.9177197416456050
637,87.65690376569040,87.65690376569040,87.65690376569040,,,,,,
638,,,,88.4453781512605,88.4453781512605,88.4453781512605,,,
668,,,,,,,0.9154731816905360,0.9154731816905360,0.9154731816905360
669,87.65690376569040,87.65690376569040,87.65690376569040,,,,,,
670,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
700,,,,,,,0.9081718618365630,0.9081718618365630,0.9081718618365630
701,85.35564853556490,85.35564853556490,85.35564853556490,,,,,,
702,,,,87.60504201680670,87.60504201680670,87.60504201680670,,,
732,,,,,,,0.9115417017691660,0.9115417017691660,0.9115417017691660
733,86.82008368200840,86.82008368200840,86.82008368200840,,,,,,
734,,,,89.70588235294120,89.70588235294120,89.70588235294120,,,
764,,,,,,,0.9177197416456050,0.9177197416456050,0.9177197416456050
765,86.61087866108790,86.61087866108790,86.61087866108790,,,,,,
766,,,,89.70588235294120,89.70588235294120,89.70588235294120,,,
796,,,,,,,0.9194046616119070,0.9194046616119070,0.9194046616119070
797,85.98326359832640,85.98326359832640,85.98326359832640,,,,,,
798,,,,88.65546218487400,88.65546218487400,88.65546218487400,,,
828,,,,,,,0.9182813816343720,0.9182813816343720,0.9182813816343720
829,86.40167364016740,86.40167364016740,86.40167364016740,,,,,,
830,,,,89.28571428571430,89.28571428571430,89.28571428571430,,,
860,,,,,,,0.9168772816624540,0.9168772816624540,0.9168772816624540
861,87.02928870292890,87.02928870292890,87.02928870292890,,,,,,
862,,,,89.49579831932770,89.49579831932770,89.49579831932770,,,
892,,,,,,,0.9230553215388940,0.9230553215388940,0.9230553215388940
893,82.84518828451880,82.84518828451880,82.84518828451880,,,,,,
894,,,,86.34453781512610,86.34453781512610,86.34453781512610,,,
924,,,,,,,0.9219320415613590,0.9219320415613590,0.9219320415613590
925,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
926,,,,89.07563025210080,89.07563025210080,89.07563025210080,,,
956,,,,,,,0.9236169615276610,0.9236169615276610,0.9236169615276610
957,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
958,,,,90.33613445378150,90.33613445378150,90.33613445378150,,,
988,,,,,,,0.9224936815501260,0.9224936815501260,0.9224936815501260
989,87.44769874476990,87.44769874476990,87.44769874476990,,,,,,
990,,,,89.70588235294120,89.70588235294120,89.70588235294120,,,
1020,,,,,,,0.9177197416456050,0.9177197416456050,0.9177197416456050
1021,85.98326359832640,85.98326359832640,85.98326359832640,,,,,,
1022,,,,89.70588235294120,89.70588235294120,89.70588235294120,,,
1052,,,,,,,0.9238977815220440,0.9238977815220440,0.9238977815220440
1053,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
1054,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
1084,,,,,,,0.9264251614714970,0.9264251614714970,0.9264251614714970
