Step,imperial-droid-52 - Average Train Loss,imperial-droid-52 - Average Train Loss__MIN,imperial-droid-52 - Average Train Loss__MAX,imperial-droid-52 - Test Loss,imperial-droid-52 - Test Loss__MIN,imperial-droid-52 - Test Loss__MAX,imperial-droid-52 - Val Loss,imperial-droid-52 - Val Loss__MIN,imperial-droid-52 - Val Loss__MAX
28,0.516410231590271,0.516410231590271,0.516410231590271,,,,,,
29,,,,0.009029881097376350,0.009029881097376350,0.009029881097376350,,,
30,,,,,,,0.008758523501455780,0.008758523501455780,0.008758523501455780
60,0.4147636592388150,0.4147636592388150,0.4147636592388150,,,,,,
61,,,,0.04486580193042760,0.04486580193042760,0.04486580193042760,,,
62,,,,,,,0.04275137558579450,0.04275137558579450,0.04275137558579450
92,0.3675341010093690,0.3675341010093690,0.3675341010093690,,,,,,
93,,,,0.008309138007462030,0.008309138007462030,0.008309138007462030,,,
94,,,,,,,0.007323008496314290,0.007323008496314290,0.007323008496314290
124,0.35952526330947900,0.35952526330947900,0.35952526330947900,,,,,,
125,,,,0.006122917868196960,0.006122917868196960,0.006122917868196960,,,
126,,,,,,,0.005350905936211350,0.005350905936211350,0.005350905936211350
156,0.35018470883369400,0.35018470883369400,0.35018470883369400,,,,,,
157,,,,0.0037503766361624000,0.0037503766361624000,0.0037503766361624000,,,
158,,,,,,,0.004025802481919530,0.004025802481919530,0.004025802481919530
188,0.34902602434158300,0.34902602434158300,0.34902602434158300,,,,,,
189,,,,0.004111511632800100,0.004111511632800100,0.004111511632800100,,,
190,,,,,,,0.004074386786669490,0.004074386786669490,0.004074386786669490
220,0.3459414541721340,0.3459414541721340,0.3459414541721340,,,,,,
221,,,,0.004108322784304620,0.004108322784304620,0.004108322784304620,,,
222,,,,,,,0.00447737006470561,0.00447737006470561,0.00447737006470561
252,0.347152441740036,0.347152441740036,0.347152441740036,,,,,,
253,,,,0.003498869016766550,0.003498869016766550,0.003498869016766550,,,
254,,,,,,,0.003541515441611410,0.003541515441611410,0.003541515441611410
284,0.33825042843818700,0.33825042843818700,0.33825042843818700,,,,,,
285,,,,0.00363771989941597,0.00363771989941597,0.00363771989941597,,,
