                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5735,                 2.2474,                 1.2644,                  0.288,                  0.383,                0.25816,                0.11569,                 1.8119,                 1.7904,                 1.4816,               0.067039,             0.00033294,             0.00033294
                      2,                 1.5673,                 1.8202,                 1.2696,                0.51926,                0.37136,                0.26705,                0.12379,                 1.7785,                 1.9168,                 1.4289,               0.034022,             0.00064979,             0.00064979
                      3,                 1.5391,                 1.7468,                 1.2532,                0.34653,                0.41592,                0.29868,                0.13198,                  1.817,                 1.6531,                  1.497,             0.00098925,             0.00095013,             0.00095013
                      4,                 1.5184,                 1.7365,                 1.2421,                0.34702,                0.45289,                0.31021,                0.14823,                 1.7435,                 1.6393,                 1.4231,             0.00092575,             0.00092575,             0.00092575
                      5,                 1.4974,                 1.6982,                 1.2339,                0.33117,                0.39712,                0.31233,                0.15924,                 1.6953,                  1.495,                 1.4146,               0.000901,               0.000901,               0.000901
                      6,                 1.4823,                 1.6301,                 1.2283,                0.34398,                0.38326,                0.28093,                0.13065,                 1.7452,                 1.5522,                 1.4214,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.4691,                 1.6135,                 1.2144,                0.36605,                0.40972,                0.32939,                0.16362,                 1.7146,                 1.4905,                 1.3812,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.4405,                 1.5744,                 1.2027,                0.37941,                0.48848,                0.35698,                0.17523,                 1.6759,                 1.4164,                 1.3795,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.4423,                 1.5615,                 1.2036,                0.48975,                0.41707,                0.34401,                0.17226,                 1.6921,                 1.4573,                 1.3907,               0.000802,               0.000802,               0.000802
                     10,                 1.4288,                  1.493,                 1.1959,                0.35374,                0.40854,                0.31021,                0.15207,                  1.707,                 1.4331,                 1.3943,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.4158,                 1.4927,                  1.168,                0.46412,                0.42235,                0.35521,                0.17738,                 1.6792,                 1.3961,                 1.3657,              0.0007525,              0.0007525,              0.0007525
                     12,                 1.3935,                 1.5102,                 1.1769,                0.59388,                0.31901,                0.36844,                0.18144,                 1.6456,                 1.4903,                 1.3555,             0.00072775,             0.00072775,             0.00072775
                     13,                 1.3775,                 1.4605,                 1.1629,                0.44793,                0.45407,                0.34843,                0.17452,                 1.6419,                 1.4972,                 1.3482,               0.000703,               0.000703,               0.000703
                     14,                 1.3753,                 1.4632,                 1.1626,                0.44911,                 0.4953,                0.35303,                0.17798,                 1.6572,                   1.41,                 1.3734,             0.00067825,             0.00067825,             0.00067825
                     15,                 1.3705,                 1.4314,                 1.1514,                0.44218,                0.48099,                0.37306,                0.18484,                 1.6406,                 1.4141,                 1.3446,              0.0006535,              0.0006535,              0.0006535
                     16,                 1.3741,                 1.4247,                 1.1543,                0.49823,                0.47778,                0.40175,                0.20068,                 1.6368,                 1.4293,                 1.3351,             0.00062875,             0.00062875,             0.00062875
                     17,                 1.3486,                  1.412,                 1.1384,                0.41079,                  0.422,                0.37375,                0.19129,                 1.6518,                 1.4088,                 1.3585,               0.000604,               0.000604,               0.000604
                     18,                 1.3332,                 1.4017,                 1.1325,                0.45874,                0.46703,                0.40665,                0.20188,                 1.6511,                 1.3237,                 1.3617,             0.00057925,             0.00057925,             0.00057925
                     19,                 1.3356,                 1.3769,                 1.1383,                0.47624,                0.46571,                 0.3811,                0.19041,                 1.6656,                 1.3557,                 1.3708,              0.0005545,              0.0005545,              0.0005545
