                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5711,                 2.2048,                 1.1075,                0.49481,                0.24674,                0.23041,                0.11669,                 1.6427,                 1.5056,                 1.1503,               0.066739,             3.3294e-05,             3.3294e-05
                      2,                 1.4533,                 1.6149,                 1.0586,                0.37925,                0.42805,                0.31637,                0.16281,                  1.594,                 1.4814,                 1.1228,               0.033432,             6.0031e-05,             6.0031e-05
                      3,                  1.396,                 1.5158,                 1.0342,                0.37653,                0.42953,                0.33948,                0.17141,                 1.5815,                 1.2881,                 1.1152,             0.00011929,             8.0169e-05,             8.0169e-05
                      4,                 1.3803,                  1.404,                 1.0308,                0.38137,                0.42307,                0.36149,                0.18337,                 1.5766,                 1.2459,                 1.1223,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                 1.3609,                 1.3756,                 1.0182,                0.39185,                0.45544,                0.39793,                0.20017,                 1.5685,                 1.2303,                 1.1064,               6.04e-05,               6.04e-05,               6.04e-05
                      6,                 1.3254,                 1.3189,                 1.0114,                0.43333,                0.44972,                 0.4086,                0.20173,                 1.5691,                 1.2409,                 1.1136,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 1.3149,                  1.255,                 1.0143,                 0.4197,                0.47234,                0.39801,                0.20305,                 1.5738,                 1.1581,                 1.1168,               4.06e-05,               4.06e-05,               4.06e-05
                      8,                 1.2946,                 1.2653,                 1.0036,                 0.4278,                0.47971,                 0.4101,                0.20979,                 1.5456,                 1.1924,                 1.1013,               3.07e-05,               3.07e-05,               3.07e-05
                      9,                 1.2716,                 1.1854,                0.98938,                0.40937,                0.50254,                0.40792,                0.21228,                 1.5411,                 1.1553,                 1.1033,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                 1.2642,                 1.1669,                0.99493,                 0.4338,                0.45061,                0.39596,                0.20748,                 1.5461,                 1.1644,                 1.0999,               1.09e-05,               1.09e-05,               1.09e-05
